Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bangladesh,BGD,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1000
Bangladesh,BGD,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1080
Bangladesh,BGD,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1200
Bangladesh,BGD,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1300
Bangladesh,BGD,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1400
Bangladesh,BGD,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1550
Bangladesh,BGD,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1675
Bangladesh,BGD,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1800
Bangladesh,BGD,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1925
Bangladesh,BGD,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2050
Bangladesh,BGD,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2180
Bangladesh,BGD,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2300
Bangladesh,BGD,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2450
Bangladesh,BGD,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2580
Bangladesh,BGD,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2700
Bangladesh,BGD,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2800
Bangladesh,BGD,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2950
Bangladesh,BGD,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3075
Bangladesh,BGD,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3200
Bangladesh,BGD,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3350
Bangladesh,BGD,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3500
Bangladesh,BGD,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3500
Bangladesh,BGD,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3500
Bangladesh,BGD,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3454
Bangladesh,BGD,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3250
Bangladesh,BGD,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,3050
Bangladesh,BGD,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2860
Bangladesh,BGD,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2660
Bangladesh,BGD,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2470
Bangladesh,BGD,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2270
Bangladesh,BGD,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,2072
Bangladesh,BGD,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1500
Bangladesh,BGD,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1300
Bangladesh,BGD,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1100
Bangladesh,BGD,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1000
Bangladesh,BGD,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,950
Bangladesh,BGD,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,900
Bangladesh,BGD,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,850
Bangladesh,BGD,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,800
Bangladesh,BGD,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,750
Bangladesh,BGD,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,392.375929871128
Bangladesh,BGD,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,476.949740034662
Bangladesh,BGD,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,469.365656919907
Bangladesh,BGD,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,384.24735621339
Bangladesh,BGD,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,407.839934667211
Bangladesh,BGD,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,415.417160264004
Bangladesh,BGD,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,306.317985452129
Bangladesh,BGD,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,238.081662354463
Bangladesh,BGD,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,207.780972155673
Bangladesh,BGD,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,156.549104708778
Bangladesh,BGD,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,172.070811424231
Bangladesh,BGD,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,164.730200448999
Bangladesh,BGD,2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,140.642912079016
Bangladesh,BGD,2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,130.44109617226
Bangladesh,BGD,2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,121.21157149108
Bangladesh,BGD,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,289.402271616143
Bangladesh,BGD,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,298.966396533185
Bangladesh,BGD,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,279.220237319077
Bangladesh,BGD,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,254.600156290701
Bangladesh,BGD,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,260.443285528031
Bangladesh,BGD,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,255.76452201094
Bangladesh,BGD,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,212.963932742909
Bangladesh,BGD,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,188.852873268343
Bangladesh,BGD,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,200.064077918749
Bangladesh,BGD,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,184.411079836233
Bangladesh,BGD,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,193.190101522843
Bangladesh,BGD,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,197.748704335735
Bangladesh,BGD,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,170.671374186418
Bangladesh,BGD,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,160.266893534273
Bangladesh,BGD,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,188.639161517024
Bangladesh,BGD,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,91942.099609375
Bangladesh,BGD,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,91622.40234375
Bangladesh,BGD,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,90990
Bangladesh,BGD,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,91080
Bangladesh,BGD,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,91200
Bangladesh,BGD,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,91280
Bangladesh,BGD,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,92410
Bangladesh,BGD,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,92460
Bangladesh,BGD,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,92530
Bangladesh,BGD,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,92660
Bangladesh,BGD,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,92800
Bangladesh,BGD,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,93110
Bangladesh,BGD,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,93230
Bangladesh,BGD,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,93280
Bangladesh,BGD,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,93530
Bangladesh,BGD,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,94030
Bangladesh,BGD,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,94000
Bangladesh,BGD,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,94860
Bangladesh,BGD,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,94340
Bangladesh,BGD,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,93650
Bangladesh,BGD,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,93270
Bangladesh,BGD,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,93740
Bangladesh,BGD,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,93580
Bangladesh,BGD,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,94460
Bangladesh,BGD,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,95490
Bangladesh,BGD,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,103200
Bangladesh,BGD,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,103860
Bangladesh,BGD,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,104430
Bangladesh,BGD,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,104270
Bangladesh,BGD,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,101150
Bangladesh,BGD,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,100410
Bangladesh,BGD,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,100270
Bangladesh,BGD,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,100600
Bangladesh,BGD,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,99640
Bangladesh,BGD,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,99780
Bangladesh,BGD,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,99810
Bangladesh,BGD,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,99870
Bangladesh,BGD,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,99830
Bangladesh,BGD,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,99870
Bangladesh,BGD,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,99910
Bangladesh,BGD,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,99980
Bangladesh,BGD,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,100040
Bangladesh,BGD,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,99890
Bangladesh,BGD,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,99890
Bangladesh,BGD,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,99910
Bangladesh,BGD,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,96950
Bangladesh,BGD,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,96970
Bangladesh,BGD,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,96750
Bangladesh,BGD,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,96690
Bangladesh,BGD,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,96950
Bangladesh,BGD,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,96500
Bangladesh,BGD,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,96370
Bangladesh,BGD,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,95200
